hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,279,2015,August,32,3,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,54.94862305248722,0,0,Canceled,2024-10-20
City Hotel,1,186,2015,September,38,18,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Transient-Party,99.33052564491439,0,2,Canceled,2025-07-08
City Hotel,0,10,2016,December,50,4,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,111.23680670430183,0,0,Check-Out,2024-12-18
City Hotel,0,91,2017,April,14,2,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,110.22251499764445,0,4,Check-Out,2024-11-01
City Hotel,0,45,2016,August,36,29,1,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.8933695475378,0,0,Check-Out,2025-03-16
City Hotel,0,164,2016,July,29,14,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,121.43624156260059,0,0,Check-Out,2024-11-30
Resort Hotel,0,8,2015,October,41,5,1,3,2,0.0,1,BB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,62.4355035255901,0,2,Check-Out,2025-06-03
City Hotel,1,28,2017,March,12,23,0,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,92.53096467593046,0,0,Canceled,2024-09-16
Resort Hotel,0,141,2016,August,36,28,2,4,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,139.05308327180938,0,1,Check-Out,2025-06-02
City Hotel,0,1,2016,February,9,25,0,1,2,1.0,2,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,200.13578902097714,0,3,Check-Out,2025-05-26
Resort Hotel,0,190,2016,April,18,30,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,C,0,No Deposit,298.0,,0,Transient-Party,78.058841970825,0,0,Check-Out,2024-09-22
City Hotel,1,76,2015,September,37,11,0,2,1,0.0,0,BB,FRA,Groups,Corporate,0,0,0,A,A,0,Non Refund,,,0,Transient,87.51450323635785,0,0,Canceled,2025-03-01
Resort Hotel,0,0,2016,January,2,4,2,5,2,0.0,0,BB,USA,Direct,Direct,0,0,0,A,D,5,No Deposit,,,0,Transient,54.84092049603055,0,0,Check-Out,2024-09-27
Resort Hotel,0,124,2016,October,44,24,2,5,2,0.0,0,Undefined,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Transient,87.6707471483956,0,2,Check-Out,2025-07-15
Resort Hotel,0,3,2015,December,49,5,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,330.0,,0,Transient,27.195684481673798,0,1,Check-Out,2024-09-17
City Hotel,1,132,2015,December,53,30,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,111,Transient-Party,62.41452495706487,0,0,Canceled,2025-06-14
City Hotel,0,44,2015,November,45,6,1,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,,0,Transient,66.30252241952087,0,0,Check-Out,2025-01-11
City Hotel,0,25,2016,January,2,5,0,1,1,0.0,0,SC,USA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient,62.62515309549996,0,0,Check-Out,2025-01-15
Resort Hotel,0,81,2017,June,22,2,0,1,2,2.0,0,BB,IRL,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,,0,Transient,164.4978288476576,0,0,Check-Out,2025-09-09
City Hotel,1,66,2017,April,16,18,0,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,131.0510756080807,0,0,Canceled,2025-05-07
City Hotel,0,33,2016,February,9,21,2,2,2,1.0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,62.52168530954699,0,0,Check-Out,2025-03-22
Resort Hotel,0,292,2017,August,34,24,2,5,1,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,115.0,,0,Group,136.3736623548383,0,1,Check-Out,2025-03-26
City Hotel,0,46,2017,February,9,27,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,106.79961320979064,0,0,Check-Out,2025-06-22
City Hotel,1,322,2017,June,24,13,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,93.41466904875614,0,0,Canceled,2024-10-26
City Hotel,1,20,2016,October,45,30,1,0,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,150.455457905773,0,0,Canceled,2025-04-11
Resort Hotel,1,35,2015,July,29,14,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,99.17386395682814,0,0,Canceled,2025-03-06
City Hotel,1,12,2016,July,27,1,0,1,2,0.0,0,BB,HKG,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.10314024279677,0,0,Canceled,2025-08-27
City Hotel,1,249,2016,July,28,6,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,94.35396283731794,0,0,Canceled,2024-12-10
City Hotel,1,117,2017,June,26,30,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,,0,Transient,114.44035375512065,0,0,Canceled,2025-03-28
City Hotel,0,78,2016,May,21,20,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,72.14814689755805,0,1,Check-Out,2025-01-02
City Hotel,0,0,2015,August,34,18,0,1,2,1.0,0,SC,ITA,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient,103.47265388795297,0,0,Check-Out,2025-05-31
Resort Hotel,0,284,2017,May,19,13,2,6,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,,0,Transient,61.19366182452958,0,0,Check-Out,2025-03-18
Resort Hotel,1,280,2017,April,15,14,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,58.07070833711783,0,0,Canceled,2025-05-17
Resort Hotel,1,38,2016,March,13,24,1,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,102.00875243942781,0,1,Canceled,2024-11-08
City Hotel,1,180,2017,May,20,15,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,126.60013185148529,0,0,Canceled,2025-04-30
City Hotel,0,21,2017,April,14,7,0,2,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,192.10297175982268,0,0,Check-Out,2025-02-21
City Hotel,0,106,2017,May,18,3,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,122.21878122761952,0,2,Check-Out,2025-03-26
Resort Hotel,1,345,2016,October,43,20,1,3,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,49.71098118270168,0,0,Canceled,2024-10-22
Resort Hotel,1,45,2017,February,8,24,1,2,2,1.0,0,BB,FRA,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,80.90129623483317,0,0,Canceled,2024-12-19
City Hotel,0,147,2016,June,24,9,1,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,86.49613271127049,0,0,Check-Out,2025-06-05
City Hotel,1,38,2016,November,49,28,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,2,No Deposit,,,0,Transient-Party,68.89924453478335,0,0,Canceled,2024-09-13
Resort Hotel,0,225,2016,August,34,19,3,7,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,134.46644705863525,0,1,Check-Out,2024-11-21
City Hotel,0,33,2016,February,7,9,0,4,1,0.0,0,BB,CHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.33891688513145,0,1,Check-Out,2024-11-10
City Hotel,1,51,2016,December,50,8,1,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.96739918602017,0,2,Canceled,2024-12-13
City Hotel,0,2,2016,January,3,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient-Party,64.67122267484194,0,0,Check-Out,2025-07-20
City Hotel,1,179,2017,April,15,14,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,2.0,,0,Transient-Party,92.59532568432482,0,0,Canceled,2025-04-01
City Hotel,0,41,2015,August,34,17,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,57.493756471365415,0,1,Check-Out,2025-08-14
City Hotel,0,100,2016,March,13,22,0,3,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,28.0,,0,Transient,84.88657526542131,0,1,Check-Out,2025-06-06
City Hotel,0,65,2016,April,15,4,1,3,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,146.26451739314825,0,3,Check-Out,2024-11-01
City Hotel,0,8,2016,November,48,23,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,,40.0,0,Transient,62.91295290674784,0,0,Check-Out,2024-11-18
City Hotel,1,397,2017,April,16,22,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,92.95068326766115,0,0,Canceled,2025-07-22
Resort Hotel,0,68,2016,December,50,8,0,3,2,0.0,0,BB,PRT,Direct,TA/TO,1,0,1,D,D,1,No Deposit,250.0,,0,Transient,66.75789477256174,0,2,Check-Out,2025-07-09
City Hotel,0,16,2015,September,39,24,1,3,2,0.0,0,BB,ITA,Groups,TA/TO,0,0,0,A,D,4,No Deposit,1.0,,0,Transient-Party,166.26247926956015,0,0,Check-Out,2025-08-03
Resort Hotel,1,206,2016,August,36,28,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,E,1,No Deposit,240.0,,0,Transient,133.72525584139981,0,1,Canceled,2025-05-17
City Hotel,0,50,2017,March,12,21,0,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,57.5644870051421,0,0,Check-Out,2025-05-26
City Hotel,0,157,2016,May,22,26,0,3,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,7,No Deposit,9.0,,0,Transient,88.13726957137838,0,1,Check-Out,2025-07-19
Resort Hotel,1,167,2016,October,43,16,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,11.0,,0,Transient,36.702529181775,0,0,Canceled,2024-11-16
Resort Hotel,1,194,2017,July,29,17,3,6,2,2.0,0,HB,CHE,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,258.8705458823893,0,0,Canceled,2025-02-24
City Hotel,1,10,2015,November,48,22,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,No Deposit,,40.0,0,Transient,56.60644679256754,0,0,Canceled,2025-05-05
Resort Hotel,0,188,2016,April,18,30,1,1,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,D,1,No Deposit,298.0,,0,Transient-Party,56.57900762621698,0,0,Check-Out,2025-04-10
City Hotel,0,18,2017,July,28,9,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,148.43308443289385,0,2,Check-Out,2025-05-15
Resort Hotel,0,73,2016,October,44,28,2,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient-Party,58.87945843843014,0,3,Check-Out,2025-02-22
City Hotel,0,23,2015,December,51,18,1,2,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,67.4352575375288,0,0,Check-Out,2025-04-21
City Hotel,0,0,2016,July,30,20,0,1,0,0.0,0,SC,PRT,Direct,Direct,0,0,0,E,B,1,No Deposit,14.0,,0,Transient,0.0,0,0,Check-Out,2025-06-06
City Hotel,0,44,2016,April,18,24,2,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,,0,Transient-Party,88.14999632394468,0,0,Check-Out,2025-03-25
City Hotel,1,111,2016,April,17,18,1,3,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,67.39398383513986,0,1,Canceled,2025-01-04
Resort Hotel,0,324,2017,June,25,24,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,147.0,,0,Transient,69.26054668863397,0,3,Check-Out,2024-11-15
City Hotel,1,22,2016,September,39,22,1,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,146.9918434238603,0,0,Canceled,2025-02-03
City Hotel,0,4,2016,December,51,15,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,99.0233881857517,0,1,Check-Out,2025-01-10
City Hotel,0,4,2017,March,10,5,2,3,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,100.23612015913902,0,0,Check-Out,2025-05-09
Resort Hotel,0,3,2016,February,8,15,1,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,139.0,99.0,0,Transient,28.250417553759767,0,0,Check-Out,2025-03-13
City Hotel,1,520,2017,February,6,9,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,56.11240272051009,0,0,Canceled,2025-07-26
City Hotel,0,8,2016,January,5,27,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.12160379496791,1,1,Check-Out,2024-12-08
City Hotel,0,135,2016,April,17,22,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,99.31902149884164,0,3,Check-Out,2025-04-22
Resort Hotel,0,2,2016,April,15,8,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,C,0,No Deposit,146.0,,0,Transient-Party,64.43349959128165,0,0,Check-Out,2025-04-28
Resort Hotel,0,63,2017,April,17,28,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,175.0,,0,Transient,90.14374849903966,0,0,Check-Out,2025-07-30
City Hotel,1,368,2017,April,16,22,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,89.44117542502245,0,0,Canceled,2025-01-05
City Hotel,0,30,2016,November,48,26,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.86688200263255,0,3,Check-Out,2025-08-07
City Hotel,0,237,2017,May,22,31,0,4,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,7.0,,0,Transient,80.80599161980739,0,3,Check-Out,2025-06-14
City Hotel,1,305,2016,August,32,4,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,52.64319791227009,0,0,Canceled,2025-03-25
City Hotel,1,50,2016,September,39,18,2,2,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,141.89463600377564,0,0,Canceled,2025-08-25
Resort Hotel,0,61,2016,December,52,24,2,3,1,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,105.85613875604705,0,1,Check-Out,2024-10-10
City Hotel,0,228,2015,September,39,20,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,,0,Transient-Party,72.17302322371502,0,0,Check-Out,2025-03-25
City Hotel,1,149,2016,April,17,22,2,3,2,0.0,0,BB,POL,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,116.84688529664517,0,0,Canceled,2024-11-29
Resort Hotel,0,0,2017,February,9,27,1,0,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,1,No Deposit,,,0,Transient,85.41816974647331,0,0,Check-Out,2025-04-01
Resort Hotel,0,168,2016,April,17,18,3,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,115.0,,0,Transient,60.10646077773169,0,1,Check-Out,2025-01-15
Resort Hotel,0,1,2017,February,5,1,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,,130.0,0,Transient-Party,38.132235263374426,0,0,Check-Out,2025-07-15
City Hotel,0,0,2016,January,5,26,0,2,1,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,144.0,0,Transient,72.26634176688712,0,0,Check-Out,2024-10-14
City Hotel,1,301,2016,July,30,20,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Contract,101.66990497195071,0,2,Canceled,2025-01-06
City Hotel,0,6,2015,December,52,23,2,5,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,64.07803955817049,0,0,Check-Out,2025-05-09
Resort Hotel,0,1,2017,January,2,10,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,38.407725705586614,0,2,Check-Out,2024-09-11
City Hotel,0,3,2017,July,27,3,1,0,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.86885302398565,0,0,Check-Out,2025-09-07
City Hotel,0,345,2016,October,42,14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,111.27992534323678,0,1,Check-Out,2024-11-11
City Hotel,0,71,2016,March,14,29,0,4,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient-Party,74.62484113659298,0,0,Check-Out,2025-07-25
Resort Hotel,0,165,2016,August,33,13,2,1,3,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,E,G,1,No Deposit,314.0,,0,Transient,198.17658778816516,0,0,Check-Out,2024-10-12
Resort Hotel,0,315,2017,June,26,26,4,10,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,314.0,,0,Transient,103.46461729200479,0,0,Check-Out,2025-03-30
City Hotel,0,5,2015,December,49,2,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient-Party,57.805345221636045,0,0,Check-Out,2025-04-07
Resort Hotel,0,79,2016,April,15,7,1,3,2,0.0,0,SC,ESP,Groups,TA/TO,0,0,0,A,I,0,No Deposit,67.0,,0,Transient-Party,52.234287397107494,0,0,Check-Out,2024-11-05
Resort Hotel,0,0,2015,December,50,10,0,1,1,0.0,0,BB,,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,291.0,0,Transient,34.94108931250886,0,0,Check-Out,2024-10-25
Resort Hotel,0,235,2016,May,22,28,1,1,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,E,1,No Deposit,298.0,,0,Transient-Party,61.43327235599842,0,0,Check-Out,2024-11-09
City Hotel,0,185,2017,March,13,29,0,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,65.35496884164891,0,0,Check-Out,2025-03-05
City Hotel,0,59,2017,June,23,10,2,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,133.1621502948821,0,2,Check-Out,2025-09-07
Resort Hotel,1,242,2016,June,26,21,0,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,66.85871422849131,0,0,Canceled,2025-02-17
City Hotel,0,57,2016,November,47,19,1,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,67.67431866021785,0,0,Check-Out,2025-05-02
City Hotel,1,12,2015,October,41,6,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,Non Refund,82.0,,0,Transient,64.97347388102659,0,0,Canceled,2025-01-09
